"filename", "language", "C++", "Batch", "C", "comment", "blank", "total"
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1105.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1106.c", "C", 0, 0, 26, 0, 0, 26
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1107.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1108.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1109.c", "C", 0, 0, 27, 0, 0, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1110.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1111.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1112.c", "C", 0, 0, 37, 0, 0, 37
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1113.c", "C", 0, 0, 31, 0, 0, 31
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1114.c", "C", 0, 0, 34, 0, 0, 34
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1115.c", "C", 0, 0, 32, 0, 0, 32
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1116.c", "C", 0, 0, 20, 0, 0, 20
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1117.c", "C", 0, 0, 19, 0, 0, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1118.c", "C", 0, 0, 28, 0, 1, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1119.c", "C", 0, 0, 39, 0, 0, 39
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1120.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1121.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1122.c", "C", 0, 0, 27, 0, 0, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1123.c", "C", 0, 0, 37, 0, 0, 37
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1124.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1125.c", "C", 0, 0, 31, 0, 0, 31
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1126.c", "C", 0, 0, 27, 0, 0, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1127.c", "C", 0, 0, 19, 0, 0, 19
