Date : 2021-07-27 16:30:22
Directory : e:\VS-Code\VS-Code-C-and-Cpp
Total : 768 files,  20535 codes, 2223 comments, 777 blanks, all 23535 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1060.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1061.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1062.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1063.c                                                         | C        |         18 |          0 |          0 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1064.c                                                         | C        |         11 |          0 |          0 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1065.c                                                         | C        |         15 |          0 |          0 |         15 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1066.c                                                         | C        |         28 |          0 |          0 |         28 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1067.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1068.c                                                         | C        |         18 |          0 |          0 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1069.c                                                         | C        |         16 |          0 |          0 |         16 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1070.c                                                         | C        |         17 |          0 |          1 |         18 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1071.c                                                         | C        |         18 |          0 |          1 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1072.c                                                         | C        |         19 |          0 |          1 |         20 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1073.c                                                         | C        |         26 |          0 |          0 |         26 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1074.c                                                         | C        |         26 |          0 |          0 |         26 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1075.c                                                         | C        |         41 |          0 |          0 |         41 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1076.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1077.c                                                         | C        |         14 |          0 |          0 |         14 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1078.c                                                         | C        |         22 |          0 |          0 |         22 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1079.c                                                         | C        |         27 |          0 |          0 |         27 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1080.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1081.c                                                         | C        |         28 |          0 |          1 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1082.c                                                         | C        |         24 |          0 |          1 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1083.c                                                         | C        |         36 |          0 |          1 |         37 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1084.c                                                         | C        |         10 |          0 |          1 |         11 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1085.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1086.c                                                         | C        |         29 |          0 |          0 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1087.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1088.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1089.c                                                         | C        |         75 |          0 |          0 |         75 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1090.c                                                         | C        |         20 |          0 |          1 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1091.c                                                         | C        |         21 |          0 |          1 |         22 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1092.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1093.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1094.c                                                         | C        |         23 |          0 |          0 |         23 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1095.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1096.c                                                         | C        |         26 |          0 |          0 |         26 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1097.c                                                         | C        |         29 |          0 |          0 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1098.c                                                         | C        |         28 |          0 |          0 |         28 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1099.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1100.c                                                         | C        |         23 |          0 |          0 |         23 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1101.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1102.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1103.c                                                         | C        |         39 |          0 |          0 |         39 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1104.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1105.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1106.c                                                         | C        |         26 |          0 |          0 |         26 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1107.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1108.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1109.c                                                         | C        |         27 |          0 |          0 |         27 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1110.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1111.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1112.c                                                         | C        |         37 |          0 |          0 |         37 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1113.c                                                         | C        |         31 |          0 |          0 |         31 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1114.c                                                         | C        |         34 |          0 |          0 |         34 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1115.c                                                         | C        |         32 |          0 |          0 |         32 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1116.c                                                         | C        |         20 |          0 |          0 |         20 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1117.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1118.c                                                         | C        |         28 |          0 |          1 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1119.c                                                         | C        |         39 |          0 |          0 |         39 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1120.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1121.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1122.c                                                         | C        |         27 |          0 |          0 |         27 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1123.c                                                         | C        |         37 |          0 |          0 |         37 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1124.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1125.c                                                         | C        |         31 |          0 |          0 |         31 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1126.c                                                         | C        |         27 |          0 |          0 |         27 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1127.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1128.c                                                         | C        |         73 |          0 |          0 |         73 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1129.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1130.c                                                         | C        |         23 |          0 |          0 |         23 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1131.c                                                         | C        |         23 |          0 |          0 |         23 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1132.c                                                         | C        |         31 |          0 |          0 |         31 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1133.c                                                         | C        |         20 |          0 |          0 |         20 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1134.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1135.c                                                         | C        |         33 |          0 |          0 |         33 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1136.c                                                         | C        |         17 |          0 |          0 |         17 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1137.c                                                         | C        |         24 |          0 |          0 |         24 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1138.c                                                         | C        |         29 |          0 |          0 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1139.c                                                         | C        |          9 |          0 |          0 |          9 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1140.c                                                         | C        |         23 |          0 |          0 |         23 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1141.c                                                         | C        |         22 |          0 |          1 |         23 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1142.c                                                         | C        |         18 |          0 |          1 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1143.c                                                         | C        |         30 |          0 |          0 |         30 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1144.c                                                         | C        |         21 |          0 |          0 |         21 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1145.c                                                         | C        |         32 |          0 |          0 |         32 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1146.c                                                         | C        |         27 |          0 |          0 |         27 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1147.c                                                         | C        |         23 |          0 |          0 |         23 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1148.c                                                         | C        |         13 |          0 |          0 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1149.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1150.c                                                         | C        |         19 |          0 |          0 |         19 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1151.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1152.c                                                         | C        |         16 |          0 |          0 |         16 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1153.c                                                         | C        |         15 |          0 |          0 |         15 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1154.c                                                         | C        |         13 |          0 |          0 |         13 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1155.c                                                         | C        |         25 |          0 |          0 |         25 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1156.c                                                         | C        |         29 |          0 |          0 |         29 |
| e:\VS-Code\VS-Code-C-and-Cpp\ACM\1157.c                                                         | C        |         26 |          0 |          0 |         26 |
